DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
32,20,38,44,33,26,65,4,8,5,Photoshop,Javascript,UI/UX
27,40,36,33,33,27,74,3,9,4,HTML/CSS,GitHub,UI/UX
52,49,54,28,0,14,64,3,8,5,Figma,HTML/CSS,UI/UX
39,36,58,27,29,14,64,4,9,5,Figma,HTML/CSS,UI/UX
51,46,48,25,28,40,63,2,10,3,GitHub,Figma,UI/UX
49,46,49,34,24,27,55,2,10,4,GitHub,Javascript,UI/UX
34,45,39,49,24,36,62,4,8,4,Photoshop,GitHub,UI/UX
41,50,50,43,24,31,74,4,8,5,GitHub,Photoshop,UI/UX
34,25,54,21,31,14,55,2,10,5,Figma,Javascript,UI/UX
47,49,60,21,29,28,73,2,10,4,Photoshop,Javascript,UI/UX
48,50,41,48,3,30,86,4,7,4,GitHub,Photoshop,UI/UX
23,44,35,23,28,27,86,3,8,4,Figma,Photoshop,UI/UX
31,33,52,32,27,37,80,4,9,3,GitHub,Photoshop,UI/UX
38,37,55,46,15,31,88,4,9,3,Javascript,HTML/CSS,UI/UX
24,41,52,46,35,25,71,1,9,3,HTML/CSS,Photoshop,UI/UX
32,35,39,35,28,30,79,2,10,3,HTML/CSS,Photoshop,UI/UX
40,34,36,29,9,24,72,4,9,3,Javascript,Photoshop,UI/UX
35,28,38,46,25,21,60,3,9,5,Photoshop,HTML/CSS,UI/UX
24,29,53,20,27,27,76,1,8,5,HTML/CSS,Javascript,UI/UX
43,48,59,35,21,33,69,1,9,3,GitHub,Figma,UI/UX
27,35,54,39,0,33,60,3,10,3,Photoshop,HTML/CSS,UI/UX
42,29,49,20,33,23,84,1,10,5,Photoshop,HTML/CSS,UI/UX
25,32,43,50,27,27,89,1,10,4,GitHub,Photoshop,UI/UX
51,50,32,40,34,23,79,2,10,5,GitHub,Photoshop,UI/UX
29,41,48,49,7,28,67,1,8,4,Figma,Photoshop,UI/UX
22,50,55,23,18,34,81,3,9,5,Photoshop,GitHub,UI/UX
45,30,53,25,0,32,68,4,9,4,Photoshop,Javascript,UI/UX
22,37,55,32,24,37,90,4,10,5,HTML/CSS,Figma,UI/UX
50,29,41,32,1,17,79,3,8,4,Figma,GitHub,UI/UX
52,29,33,28,29,27,60,2,10,4,Figma,Javascript,UI/UX
47,41,30,49,2,36,63,2,10,5,GitHub,HTML/CSS,UI/UX
25,23,37,34,8,15,71,1,8,4,Javascript,Figma,UI/UX
48,45,53,22,13,35,70,4,8,4,Photoshop,Javascript,UI/UX
30,28,45,50,15,34,64,3,7,5,GitHub,Javascript,UI/UX
26,34,58,46,29,18,64,1,7,5,Figma,Photoshop,UI/UX
27,31,36,46,29,31,85,4,9,5,HTML/CSS,Photoshop,UI/UX
46,27,55,49,30,35,71,4,8,5,Javascript,Figma,UI/UX
45,50,38,43,18,17,79,4,7,4,HTML/CSS,GitHub,UI/UX
32,22,51,39,23,17,81,4,10,5,Javascript,Photoshop,UI/UX
28,34,41,47,18,16,59,1,7,3,Figma,Photoshop,UI/UX
43,45,44,46,27,14,69,1,9,3,Photoshop,HTML/CSS,UI/UX
50,27,46,40,19,15,83,3,9,5,Javascript,Figma,UI/UX
30,38,32,32,16,25,80,1,7,3,Javascript,GitHub,UI/UX
31,42,51,24,25,38,80,4,8,3,Figma,Javascript,UI/UX
35,37,59,29,33,39,75,3,7,5,GitHub,HTML/CSS,UI/UX
50,42,50,21,6,13,80,3,8,3,Javascript,HTML/CSS,UI/UX
32,37,40,29,33,14,61,3,7,5,Figma,GitHub,UI/UX
34,20,50,24,19,16,70,1,9,3,HTML/CSS,GitHub,UI/UX
22,35,46,37,21,26,63,3,8,4,GitHub,Javascript,UI/UX
32,38,46,26,25,15,57,4,10,5,GitHub,HTML/CSS,UI/UX
41,50,46,22,0,28,61,4,10,5,GitHub,Photoshop,UI/UX
23,38,53,26,29,14,65,4,10,3,HTML/CSS,Javascript,UI/UX
48,27,50,39,21,38,86,3,10,3,Javascript,Figma,UI/UX
34,39,33,33,24,26,61,1,9,5,Figma,Javascript,UI/UX
23,21,42,22,12,23,59,2,9,5,Javascript,Photoshop,UI/UX
42,50,35,24,25,37,78,3,7,4,Photoshop,Figma,UI/UX
43,38,49,38,30,31,81,3,9,3,HTML/CSS,Javascript,UI/UX
48,25,51,29,1,29,80,1,9,4,Photoshop,GitHub,UI/UX
37,25,41,43,14,21,70,2,8,3,Javascript,HTML/CSS,UI/UX
36,45,36,34,23,40,61,4,7,4,GitHub,Photoshop,UI/UX
47,26,40,28,22,38,84,2,8,5,HTML/CSS,Javascript,UI/UX
50,41,44,38,35,23,79,3,9,3,Figma,HTML/CSS,UI/UX
59,88,84,37,40,40,43,3,7,10,Javascript,HTML/CSS,Web Developer
56,89,81,37,43,39,40,4,7,9,Node.js,HTML/CSS,Web Developer
48,77,92,60,20,45,50,3,7,5,Angular,Node.js,Web Developer
67,82,77,40,19,40,48,6,9,9,Javascript,HTML/CSS,Web Developer
52,79,90,36,24,35,58,5,9,10,GitHub,Node.js,Web Developer
69,82,71,37,32,48,45,6,7,4,GitHub,React,Web Developer
59,90,73,45,43,36,46,4,8,10,React,GitHub,Web Developer
55,80,87,52,37,31,53,4,8,10,GitHub,Angular,Web Developer
60,80,84,40,24,50,49,4,8,5,Angular,HTML/CSS,Web Developer
53,85,86,40,43,49,47,3,7,8,Angular,React,Web Developer
53,82,73,38,28,43,49,4,8,7,Node.js,Angular,Web Developer
57,84,70,50,30,42,51,5,9,6,React,Angular,Web Developer
53,89,95,38,25,31,43,5,8,8,HTML/CSS,Node.js,Web Developer
69,88,84,57,34,43,56,5,8,9,Angular,Javascript,Web Developer
65,79,94,50,44,31,57,4,7,10,React,HTML/CSS,Web Developer
54,80,84,58,23,33,58,3,9,7,Javascript,GitHub,Web Developer
65,88,83,55,19,44,49,3,8,8,React,Angular,Web Developer
60,86,84,45,28,46,49,6,8,4,Angular,Javascript,Web Developer
69,84,84,50,34,37,59,3,7,9,Javascript,GitHub,Web Developer
59,76,74,36,39,42,40,5,8,7,React,GitHub,Web Developer
59,85,73,56,19,45,44,5,7,4,Angular,React,Web Developer
65,83,70,38,23,35,49,5,9,9,GitHub,React,Web Developer
65,79,72,53,19,48,59,3,7,8,GitHub,React,Web Developer
51,89,94,53,18,36,55,6,9,5,Angular,React,Web Developer
60,80,94,40,45,38,49,6,8,10,React,GitHub,Web Developer
47,78,77,48,44,30,60,4,7,7,Node.js,Angular,Web Developer
50,88,89,45,27,37,42,4,9,8,GitHub,Angular,Web Developer
57,83,85,39,25,46,51,4,7,5,Javascript,Node.js,Web Developer
62,82,80,51,34,39,51,3,7,7,Angular,Javascript,Web Developer
56,83,85,35,33,36,50,5,7,5,HTML/CSS,Node.js,Web Developer
65,90,87,51,31,39,60,4,8,5,Angular,React,Web Developer
60,88,73,49,19,36,58,3,8,7,Javascript,HTML/CSS,Web Developer
63,78,82,41,32,48,45,4,9,5,GitHub,React,Web Developer
63,82,87,51,33,35,59,6,9,7,Angular,HTML/CSS,Web Developer
61,86,87,43,32,41,58,3,9,5,Node.js,HTML/CSS,Web Developer
62,81,92,45,34,34,41,3,9,10,HTML/CSS,Node.js,Web Developer
54,88,86,57,15,50,44,3,8,10,GitHub,HTML/CSS,Web Developer
62,84,76,58,16,30,42,5,9,8,React,HTML/CSS,Web Developer
69,79,91,43,35,35,59,5,8,10,GitHub,Javascript,Web Developer
60,76,73,42,26,35,41,4,9,8,Node.js,React,Web Developer
65,85,74,54,16,36,50,3,9,5,GitHub,Angular,Web Developer
55,76,79,47,30,33,47,3,8,6,Angular,Javascript,Web Developer
57,77,74,49,40,45,58,3,7,5,GitHub,Angular,Web Developer
64,75,90,39,22,34,44,5,8,7,Angular,GitHub,Web Developer
47,79,93,44,30,48,54,4,8,6,GitHub,Javascript,Web Developer
59,82,73,60,42,38,44,6,7,8,HTML/CSS,GitHub,Web Developer
58,85,81,55,15,50,43,4,9,6,Node.js,GitHub,Web Developer
56,79,81,53,16,50,49,6,9,10,Node.js,Javascript,Web Developer
57,90,79,58,43,50,40,6,9,5,HTML/CSS,Angular,Web Developer
54,85,76,49,39,44,40,6,9,4,Node.js,GitHub,Web Developer
65,81,80,47,38,36,50,5,9,4,GitHub,HTML/CSS,Web Developer
51,87,83,45,45,50,53,6,8,7,Node.js,GitHub,Web Developer
47,87,88,52,31,40,59,4,9,5,Node.js,Angular,Web Developer
65,85,71,38,19,35,45,3,8,4,Node.js,Javascript,Web Developer
63,86,88,57,40,30,49,5,7,7,Node.js,GitHub,Web Developer
61,85,90,56,45,40,49,4,7,6,GitHub,HTML/CSS,Web Developer
55,82,78,42,36,38,56,5,7,10,Javascript,HTML/CSS,Web Developer
47,86,79,52,36,47,53,5,9,5,React,Javascript,Web Developer
70,77,77,39,16,38,41,6,7,5,GitHub,Angular,Web Developer
70,83,76,39,20,42,59,5,8,5,GitHub,Javascript,Web Developer
48,80,88,47,41,39,43,3,9,4,Node.js,HTML/CSS,Web Developer
53,82,82,58,31,47,40,4,8,6,Javascript,React,Web Developer
65,77,94,56,43,35,40,4,7,7,Node.js,Javascript,Web Developer
52,83,79,39,27,37,49,3,7,7,HTML/CSS,React,Web Developer
47,88,84,43,42,40,44,4,8,8,HTML/CSS,Node.js,Web Developer
58,82,83,36,28,46,52,5,9,6,Javascript,Angular,Web Developer
61,87,81,39,21,33,60,3,9,9,HTML/CSS,Node.js,Web Developer
63,83,91,38,21,38,58,3,7,10,GitHub,Node.js,Web Developer
58,85,93,47,34,37,53,4,7,9,Node.js,React,Web Developer
67,82,72,58,15,30,42,3,8,9,GitHub,HTML/CSS,Web Developer
54,78,94,45,43,40,53,6,7,4,HTML/CSS,Javascript,Web Developer
70,86,92,36,26,46,40,5,8,4,Javascript,HTML/CSS,Web Developer
60,87,85,60,29,49,51,6,9,9,HTML/CSS,GitHub,Web Developer
70,76,70,58,17,39,42,6,9,9,Angular,GitHub,Web Developer
67,85,84,57,37,30,51,5,8,8,GitHub,Node.js,Web Developer
61,75,71,50,28,40,45,3,8,5,Javascript,Angular,Web Developer
58,84,85,40,19,34,49,5,9,10,GitHub,HTML/CSS,Web Developer
70,79,73,36,40,33,55,4,8,5,Javascript,Node.js,Web Developer
68,83,86,47,31,48,60,3,7,6,Javascript,React,Web Developer
58,90,70,59,37,38,60,6,7,4,React,Node.js,Web Developer
67,90,91,55,30,32,56,5,7,5,GitHub,Node.js,Web Developer
69,81,74,48,23,50,52,6,7,9,Javascript,HTML/CSS,Web Developer
47,88,77,57,28,35,56,6,9,9,Angular,Node.js,Web Developer
66,76,92,42,20,47,58,4,9,5,Angular,GitHub,Web Developer
62,78,81,38,25,39,54,6,9,10,GitHub,Javascript,Web Developer
66,88,77,54,42,32,56,4,9,6,GitHub,React,Web Developer
57,76,77,57,42,30,42,6,9,5,GitHub,Node.js,Web Developer
62,89,92,59,24,32,58,3,9,9,HTML/CSS,Angular,Web Developer
66,90,91,41,29,36,47,5,7,7,Javascript,HTML/CSS,Web Developer
52,76,90,55,31,34,52,3,8,7,GitHub,Angular,Web Developer
49,86,83,53,42,49,45,5,8,7,React,Angular,Web Developer
51,78,73,42,44,43,53,5,7,10,React,Angular,Web Developer
61,79,83,42,40,33,46,6,7,6,Node.js,HTML/CSS,Web Developer
48,88,75,52,20,41,57,3,9,6,React,Javascript,Web Developer
64,90,71,53,16,38,43,3,9,10,Javascript,GitHub,Web Developer
58,82,78,50,31,39,45,4,8,4,React,HTML/CSS,Web Developer
55,84,82,43,30,42,44,3,8,9,Angular,HTML/CSS,Web Developer
55,84,74,51,32,38,52,6,7,6,GitHub,React,Web Developer
63,88,73,54,25,31,52,3,7,6,React,Node.js,Web Developer
55,90,81,36,29,33,46,4,7,5,Javascript,Node.js,Web Developer
69,87,87,40,15,34,57,5,8,6,GitHub,Node.js,Web Developer
84,88,70,62,77,64,63,8,7,3,Python,Pytorch,DATA Scientist
70,84,71,62,89,67,78,9,5,3,R,Tensorflow,DATA Scientist
82,78,66,58,88,71,67,9,6,1,Python,Deep Learning,DATA Scientist
81,85,57,64,85,83,64,9,6,4,Tensorflow,Python,DATA Scientist
70,79,56,64,89,67,65,6,7,3,Deep Learning,Pytorch,DATA Scientist
85,82,62,66,99,77,66,9,7,3,R,Pytorch,DATA Scientist
82,71,73,63,96,72,74,9,7,4,Deep Learning,Pytorch,DATA Scientist
77,90,64,56,88,71,74,6,6,1,Pytorch,R,DATA Scientist
75,70,59,69,91,66,65,7,5,3,Pytorch,Machine Learning,DATA Scientist
72,74,68,62,97,60,60,7,7,1,Python,Tensorflow,DATA Scientist
83,82,69,55,87,85,64,8,5,1,Pytorch,Deep Learning,DATA Scientist
72,77,74,59,90,63,80,9,6,4,Tensorflow,Deep Learning,DATA Scientist
71,71,64,56,81,80,74,6,7,4,Machine Learning,R,DATA Scientist
74,87,65,64,78,74,60,9,7,1,R,Python,DATA Scientist
85,89,70,56,91,72,63,8,5,1,Machine Learning,R,DATA Scientist
84,74,57,70,84,78,71,8,6,4,Machine Learning,Deep Learning,DATA Scientist
75,70,67,58,75,81,78,6,5,3,Tensorflow,Pytorch,DATA Scientist
73,86,59,62,86,60,70,6,6,2,Python,Tensorflow,DATA Scientist
85,70,67,58,96,85,74,7,6,2,Tensorflow,Deep Learning,DATA Scientist
82,84,70,65,92,82,70,9,6,4,Machine Learning,Tensorflow,DATA Scientist
72,74,73,60,87,82,65,7,6,4,Tensorflow,R,DATA Scientist
70,85,67,65,95,83,74,7,6,3,R,Pytorch,DATA Scientist
80,83,63,58,82,64,80,9,5,2,Deep Learning,Machine Learning,DATA Scientist
81,89,55,64,80,70,69,7,7,1,R,Deep Learning,DATA Scientist
82,82,65,70,86,82,76,7,4,3,R,Machine Learning,DATA Scientist
74,77,74,65,86,68,73,9,7,1,Machine Learning,Python,DATA Scientist
79,89,68,58,95,62,74,6,6,1,Tensorflow,Machine Learning,DATA Scientist
82,85,59,67,77,60,68,6,5,4,R,Deep Learning,DATA Scientist
72,72,66,59,86,67,79,7,4,3,R,Tensorflow,DATA Scientist
71,87,71,59,83,61,80,8,5,1,Python,Tensorflow,DATA Scientist
75,74,74,67,94,67,73,8,4,3,Deep Learning,Tensorflow,DATA Scientist
71,79,59,57,91,63,79,6,5,3,Tensorflow,Pytorch,DATA Scientist
80,70,72,57,97,76,71,9,4,1,Deep Learning,R,DATA Scientist
82,75,57,64,92,84,73,9,6,2,Pytorch,Deep Learning,DATA Scientist
78,73,59,58,85,60,79,8,7,2,Pytorch,Machine Learning,DATA Scientist
72,81,75,69,78,69,71,8,5,1,Deep Learning,Python,DATA Scientist
81,77,68,59,82,85,67,7,5,2,Tensorflow,Deep Learning,DATA Scientist
70,85,68,64,77,63,61,9,4,2,Deep Learning,Pytorch,DATA Scientist
80,78,58,63,94,79,78,7,7,1,Pytorch,R,DATA Scientist
83,76,63,69,75,78,65,8,6,1,Pytorch,Machine Learning,DATA Scientist
84,88,66,70,83,71,80,8,5,3,Pytorch,Machine Learning,DATA Scientist
83,75,65,69,88,74,62,8,6,2,Machine Learning,R,DATA Scientist
83,76,61,66,93,62,74,6,6,4,R,Python,DATA Scientist
73,82,59,55,83,61,61,6,5,1,Tensorflow,Pytorch,DATA Scientist
76,81,56,65,99,74,63,8,4,1,Tensorflow,R,DATA Scientist
76,88,66,70,78,68,67,6,7,2,Python,Pytorch,DATA Scientist
72,86,73,56,93,71,63,7,7,1,Python,Pytorch,DATA Scientist
82,86,62,63,82,65,61,9,6,4,Python,Deep Learning,DATA Scientist
85,77,61,61,75,85,66,9,6,4,Pytorch,Tensorflow,DATA Scientist
73,79,66,63,78,65,73,7,5,1,Pytorch,Deep Learning,DATA Scientist
85,70,55,56,78,80,60,9,6,3,Machine Learning,Pytorch,DATA Scientist
72,74,60,65,98,65,63,9,6,1,Deep Learning,Machine Learning,DATA Scientist
83,83,57,68,88,75,64,7,7,4,Deep Learning,Python,DATA Scientist
81,70,68,59,78,83,78,9,4,1,Python,R,DATA Scientist
79,85,62,60,78,62,63,6,7,2,Python,Tensorflow,DATA Scientist
81,83,60,61,85,65,63,8,7,4,R,Deep Learning,DATA Scientist
80,75,68,66,85,61,65,9,4,4,R,Deep Learning,DATA Scientist
80,70,61,64,84,60,72,6,4,1,Python,Deep Learning,DATA Scientist
74,79,56,69,92,67,79,7,4,3,Deep Learning,Python,DATA Scientist
74,80,70,59,82,63,64,8,4,1,Deep Learning,Python,DATA Scientist
80,75,61,58,99,80,64,9,5,4,R,Machine Learning,DATA Scientist
81,88,75,58,85,73,64,7,6,3,R,Deep Learning,DATA Scientist
80,72,68,66,79,82,72,9,5,2,Pytorch,R,DATA Scientist
70,72,56,65,83,75,75,8,7,4,Tensorflow,R,DATA Scientist
85,80,59,59,77,77,60,8,7,3,Python,R,DATA Scientist
78,86,74,66,79,69,62,8,4,1,Tensorflow,Machine Learning,DATA Scientist
85,80,69,62,91,64,71,9,5,4,Pytorch,Tensorflow,DATA Scientist
72,74,63,67,98,60,78,8,6,3,Python,R,DATA Scientist
84,80,58,63,75,68,65,9,7,2,Deep Learning,R,DATA Scientist
73,75,56,60,90,63,72,6,6,1,Pytorch,Tensorflow,DATA Scientist
76,78,55,60,83,83,76,9,5,2,Deep Learning,Machine Learning,DATA Scientist
82,77,69,67,75,76,61,7,5,3,R,Machine Learning,DATA Scientist
83,82,66,60,96,63,61,9,5,1,Tensorflow,Python,DATA Scientist
75,84,62,62,95,82,73,6,5,2,Python,Tensorflow,DATA Scientist
73,74,61,56,75,76,67,8,4,3,Deep Learning,R,DATA Scientist
82,84,67,55,99,70,67,6,4,2,R,Deep Learning,DATA Scientist
78,86,56,55,90,63,66,7,6,4,R,Tensorflow,DATA Scientist
70,76,58,70,98,65,70,6,4,2,Deep Learning,Tensorflow,DATA Scientist
77,76,70,67,98,66,61,6,4,2,Python,Machine Learning,DATA Scientist
77,70,69,61,79,81,72,6,5,3,Tensorflow,Python,DATA Scientist
78,88,57,61,77,84,71,6,7,1,Deep Learning,R,DATA Scientist
72,70,59,67,98,81,74,8,7,2,R,Deep Learning,DATA Scientist
84,76,60,66,94,60,61,6,5,3,Machine Learning,Pytorch,DATA Scientist
78,72,59,67,91,73,74,7,5,4,Python,Tensorflow,DATA Scientist
83,78,63,60,89,77,79,8,4,1,Tensorflow,Deep Learning,DATA Scientist
82,74,59,64,81,67,76,6,6,3,Deep Learning,Tensorflow,DATA Scientist
78,88,56,69,97,71,77,7,7,4,Machine Learning,Deep Learning,DATA Scientist
81,71,68,66,95,64,67,8,6,2,Tensorflow,Pytorch,DATA Scientist
83,71,62,60,84,80,74,7,5,3,Tensorflow,Pytorch,DATA Scientist
74,84,68,63,97,60,61,9,6,3,R,Tensorflow,DATA Scientist
85,70,62,63,86,62,75,7,4,1,R,Tensorflow,DATA Scientist
75,90,72,67,92,85,72,9,5,1,Tensorflow,Python,DATA Scientist
74,83,64,63,93,77,80,9,4,4,Machine Learning,R,DATA Scientist
78,70,71,56,93,80,61,7,6,4,Pytorch,Deep Learning,DATA Scientist
79,76,62,70,85,84,79,6,5,4,Machine Learning,Pytorch,DATA Scientist
73,82,66,62,93,79,61,7,6,1,Pytorch,R,DATA Scientist
75,87,60,62,89,85,71,9,6,2,Deep Learning,R,DATA Scientist
80,82,59,69,93,84,64,9,5,4,Python,Machine Learning,DATA Scientist
84,85,64,70,96,66,68,9,5,4,Python,Machine Learning,DATA Scientist
79,78,61,58,79,74,71,9,6,2,Tensorflow,Pytorch,DATA Scientist
83,79,62,60,81,67,66,6,4,2,Python,Pytorch,DATA Scientist
80,76,82,79,70,81,72,8,6,3,Javascript,MYSQL,Software Engineer
99,83,84,85,76,90,74,9,7,6,Angular,Oracle,Software Engineer
81,75,80,85,81,89,63,8,5,8,C/C++,Linux,Software Engineer
92,92,86,87,71,85,69,10,6,4,Python,Oracle,Software Engineer
91,81,87,81,77,94,75,10,7,3,React,Oracle,Software Engineer
97,85,86,81,83,91,67,10,5,7,Python,Javascript,Software Engineer
91,92,85,79,81,88,77,9,7,3,Java,Python,Software Engineer
80,77,79,89,78,90,70,7,6,4,C/C++,Linux,Software Engineer
78,79,84,88,84,99,74,7,5,7,C/C++,Angular,Software Engineer
88,79,87,87,78,96,71,8,5,4,MYSQL,React,Software Engineer
83,89,88,88,80,93,76,10,7,5,Java,Angular,Software Engineer
83,76,79,81,85,80,62,10,5,3,Python,Javascript,Software Engineer
99,77,79,77,75,91,61,8,7,5,React,Python,Software Engineer
79,92,78,80,74,85,74,10,6,4,Java,HTML/CSS,Software Engineer
94,91,89,89,84,93,72,7,7,8,C/C++,MYSQL,Software Engineer
90,85,85,90,73,86,75,9,7,6,MYSQL,Linux,Software Engineer
91,84,75,82,72,99,68,10,5,4,C/C++,Python,Software Engineer
96,80,75,86,75,86,72,10,5,4,Angular,Java,Software Engineer
88,89,75,82,83,96,71,8,7,7,Oracle,MYSQL,Software Engineer
81,82,86,89,70,93,77,10,7,8,Java,Python,Software Engineer
77,91,84,77,78,94,74,10,6,8,Javascript,HTML/CSS,Software Engineer
98,75,89,90,70,85,66,8,7,4,Oracle,C/C++,Software Engineer
96,77,82,88,77,98,67,8,6,7,Python,Javascript,Software Engineer
82,92,86,88,75,98,69,9,7,6,Javascript,HTML/CSS,Software Engineer
95,77,75,86,85,92,69,8,5,5,HTML/CSS,C/C++,Software Engineer
78,85,90,82,71,99,74,8,7,4,React,C/C++,Software Engineer
79,75,87,76,74,97,73,7,6,7,Python,Java,Software Engineer
91,91,85,75,80,96,64,7,5,6,Python,HTML/CSS,Software Engineer
98,86,81,89,81,92,67,7,6,7,React,Angular,Software Engineer
78,91,87,76,83,81,72,9,7,5,Linux,Angular,Software Engineer
99,75,77,82,76,90,71,8,7,8,Javascript,Linux,Software Engineer
93,85,88,90,74,95,64,9,7,4,Oracle,HTML/CSS,Software Engineer
94,82,83,90,71,90,73,7,6,8,Angular,HTML/CSS,Software Engineer
94,90,80,80,75,99,65,10,6,7,C/C++,Javascript,Software Engineer
81,92,82,90,83,92,60,9,7,5,React,C/C++,Software Engineer
90,88,80,75,79,82,67,7,5,8,C/C++,Oracle,Software Engineer
99,76,76,77,85,82,63,8,5,5,Java,Javascript,Software Engineer
75,79,83,77,81,90,68,7,6,6,Angular,Java,Software Engineer
75,86,79,79,71,86,65,7,6,6,Java,React,Software Engineer
81,92,76,75,74,89,76,10,5,5,Oracle,C/C++,Software Engineer
75,81,76,77,77,94,66,7,5,7,Java,Linux,Software Engineer
84,86,78,88,76,91,61,8,6,6,HTML/CSS,C/C++,Software Engineer
98,80,85,84,82,81,60,7,6,7,Linux,React,Software Engineer
94,89,84,81,74,80,60,9,7,8,C/C++,Javascript,Software Engineer
86,77,83,76,78,89,71,10,6,3,C/C++,Javascript,Software Engineer
93,78,89,75,72,95,67,7,7,3,React,Javascript,Software Engineer
82,85,80,83,71,94,72,9,6,4,Angular,Java,Software Engineer
83,75,79,84,85,80,64,8,5,5,Linux,Angular,Software Engineer
87,86,78,87,82,87,76,10,7,5,Python,C/C++,Software Engineer
97,85,85,89,71,90,61,7,5,5,Linux,Java,Software Engineer
96,77,79,89,72,98,61,8,5,8,HTML/CSS,Javascript,Software Engineer
91,86,78,89,76,89,62,7,6,8,C/C++,Java,Software Engineer
84,84,86,75,76,93,66,7,7,4,Java,Angular,Software Engineer
97,75,81,88,85,84,64,9,7,4,MYSQL,C/C++,Software Engineer
85,88,84,79,72,91,65,10,6,6,React,C/C++,Software Engineer
88,81,87,77,85,98,61,7,6,5,Python,Javascript,Software Engineer
96,81,83,77,71,90,76,7,7,3,HTML/CSS,Angular,Software Engineer
90,76,84,76,78,87,76,8,5,4,MYSQL,React,Software Engineer
93,77,90,85,71,96,76,8,6,6,React,MYSQL,Software Engineer
88,75,82,78,84,86,74,8,6,4,Angular,Java,Software Engineer
77,75,85,90,78,95,75,10,6,7,HTML/CSS,React,Software Engineer
99,88,82,79,84,90,70,7,6,8,Linux,Angular,Software Engineer
83,90,79,75,79,94,63,7,6,5,Oracle,Java,Software Engineer
92,83,81,81,70,84,62,10,6,7,Angular,HTML/CSS,Software Engineer
80,88,83,90,73,80,72,10,6,6,Oracle,HTML/CSS,Software Engineer
77,86,87,89,85,86,75,10,6,5,HTML/CSS,Python,Software Engineer
79,84,83,77,71,94,74,8,7,5,Javascript,React,Software Engineer
92,84,78,77,82,84,70,8,6,4,C/C++,Java,Software Engineer
83,91,76,78,75,84,74,9,7,4,HTML/CSS,Javascript,Software Engineer
97,84,89,77,83,80,75,7,7,3,Linux,HTML/CSS,Software Engineer
83,78,82,82,72,89,61,7,7,8,React,Angular,Software Engineer
96,78,81,85,78,98,70,8,6,5,Python,MYSQL,Software Engineer
